slug,name,history_index,date,event,opponent,result,org,matched_event,reason
nakamura-daisuke,中村大介,14,2021-02-21,DEEP 100 IMPACT～20th Anniversary～,牛久絢太郎,win,DEEP,DEEP 100 IMPACT ～20th Anniversary～,no_candidate
nakamura-daisuke,中村大介,15,2020-09-20,DEEP 97 IMPACT,長倉立尚,win,DEEP,DEEP 97 IMPACT,no_candidate
nakamura-daisuke,中村大介,21,2014-10-26,DEEP 69 IMPACT,佐々木信治,draw,DEEP,DEEP 69 IMPACT,no_candidate
izumi-takeshi,泉武志,9,2022-09-11,DEEP Tokyo Impact 2022 5th Round,THE☆ナマハゲ,win,DEEP,DEEP TOKYO IMPACT 2022 5th ROUND,no_candidate
kubota-taito,窪田泰斗,3,2024-11-17,RIZIN LANDMARK 10,"日比野""エビ中""純也",win,RIZIN,RIZIN LANDMARK 10 in NAGOYA,opponent_name_mismatch(org_bout_opponent=日比野“エビ中”純也)
kubota-taito,窪田泰斗,4,2024-08-31,DEEP SUMMER FESTIVAL 2024,"日比野""エビ中""純也",win,DEEP,DEEPサマーフェスティバル2024 inお台場,opponent_name_mismatch(org_bout_opponent=日比野”エビ中”純也)
kubota-taito,窪田泰斗,5,2024-05-03,DEEP 119 IMPACT,橋本ユウタ,win,DEEP,DEEP 119 IMPACT,opponent_name_mismatch(org_bout_opponent=橋本優大)
kubota-taito,窪田泰斗,11,2019-03-09,DEEP 88 IMPACT,横山恭介,loss,DEEP,DEEP 88 IMPACT,opponent_name_mismatch(org_bout_opponent=横山恭典)
kubota-taito,窪田泰斗,13,2018-04-28,DEEP 83 IMPACT,小川晃弘,win,DEEP,DEEP 83 IMPACT,opponent_name_mismatch(org_bout_opponent=小川顕広)
kubota-taito,窪田泰斗,14,2017-12-23,DEEP 81 IMPACT,北田敏明,loss,DEEP,DEEP 81 IMPACT,opponent_name_mismatch(org_bout_opponent=北田俊亮)
kubota-taito,窪田泰斗,15,2017-07-15,DEEP CAGE IMPACT 2017,高野由紀,win,DEEP,DEEP CAGE IMPACT 2017,opponent_name_mismatch(org_bout_opponent=高野優樹)
kubota-taito,窪田泰斗,17,2016-12-17,DEEP CAGE IMPACT 2016,白田和秀,win,DEEP,DEEP CAGE IMPACT 2016～DEEP VS WSOF-GC～,opponent_name_mismatch(org_bout_opponent=城田和秀)
kubota-taito,窪田泰斗,19,2016-08-27,DEEP 77 IMPACT,山田誠生,win,DEEP,DEEP 77 IMPACT,opponent_name_mismatch(org_bout_opponent=聖王 DATE)
kubota-taito,窪田泰斗,20,2016-06-26,DEEP 76 IMPACT,中山圭介,win,DEEP,DEEP 76 IMPACT,opponent_name_mismatch(org_bout_opponent=ソムリエ恵介)
kubota-taito,窪田泰斗,21,2016-04-23,DEEP CAGE IMPACT 2016,金井拓也,win,DEEP,DEEP CAGE IMPACT 2016,opponent_name_mismatch(org_bout_opponent=金井卓也)
