event_id,brand,event_date,bout_index,side,result,name_raw,gym_raw,name_normalized,weight_class_raw,source_url,fetched_at,mnews_slug,status,match_confidence,name_confidence
deep-129-impact,DEEP IMPACT,2025-12-14,1,A,loss,高橋遼伍,KRAZY BEE,高橋遼伍,DEEPフェザー級 5分3R,https://www.deep2001.com/deep-129-impact/,2026-07-25,,missing,none,clean
deep-129-impact,DEEP IMPACT,2025-12-14,1,B,win,相本宗輝,ROOM,相本宗輝,DEEPフェザー級 5分3R,https://www.deep2001.com/deep-129-impact/,2026-07-25,aimoto-kazuki,listed,exact,clean
deep-129-impact,DEEP IMPACT,2025-12-14,2,A,win,武田光司,TRIBE TOKYO MMA,武田光司,DEEPフェザー級 5分3R,https://www.deep2001.com/deep-129-impact/,2026-07-25,takeda-koji,listed,exact,clean
deep-129-impact,DEEP IMPACT,2025-12-14,2,B,loss,奥山貴大,NEX SPORTS,奥山貴大,DEEPフェザー級 5分3R,https://www.deep2001.com/deep-129-impact/,2026-07-25,,missing,none,clean
deep-129-impact,DEEP IMPACT,2025-12-14,3,A,win,石司晃一,フリー,石司晃一,DEEPバンタム級 5分3R,https://www.deep2001.com/deep-129-impact/,2026-07-25,ishizuka-koichi,listed,exact,clean
deep-129-impact,DEEP IMPACT,2025-12-14,3,B,loss,河村泰博,和術慧舟會AKZA,河村泰博,DEEPバンタム級 5分3R,https://www.deep2001.com/deep-129-impact/,2026-07-25,,missing,none,clean
deep-129-impact,DEEP IMPACT,2025-12-14,4,A,win,水野竜也,フリー,水野竜也,DEEPメガトン級 5分3R,https://www.deep2001.com/deep-129-impact/,2026-07-25,,missing,none,clean
deep-129-impact,DEEP IMPACT,2025-12-14,4,B,loss,稲田将,BOND GYM,稲田将,DEEPメガトン級 5分3R,https://www.deep2001.com/deep-129-impact/,2026-07-25,,missing,none,clean
deep-129-impact,DEEP IMPACT,2025-12-14,5,A,win,杉山廣平,THE BLACK BELT JAPAN,杉山廣平,DEEPフライ級 5分2R,https://www.deep2001.com/deep-129-impact/,2026-07-25,sugiyama-kohei,listed,exact,clean
deep-129-impact,DEEP IMPACT,2025-12-14,5,B,loss,橋本ユウタ,CAVE,橋本ユウタ,DEEPフライ級 5分2R,https://www.deep2001.com/deep-129-impact/,2026-07-25,,missing,none,clean
deep-129-impact,DEEP IMPACT,2025-12-14,6,A,win,高橋正親,BRAVE GYM,高橋正親,DEEPフェザー級 5分2R,https://www.deep2001.com/deep-129-impact/,2026-07-25,,missing,none,clean
deep-129-impact,DEEP IMPACT,2025-12-14,6,B,loss,杉野亜蓮,パラエストラ八王子,杉野亜蓮,DEEPフェザー級 5分2R,https://www.deep2001.com/deep-129-impact/,2026-07-25,sugino-aren,listed,exact,clean
deep-129-impact,DEEP IMPACT,2025-12-14,7,A,win,横内三旺,Battle-Box,横内三旺,DEEPフライ級 5分2R,https://www.deep2001.com/deep-129-impact/,2026-07-25,,missing,none,clean
deep-129-impact,DEEP IMPACT,2025-12-14,7,B,loss,石原射,GRABAKA,石原射,DEEPフライ級 5分2R,https://www.deep2001.com/deep-129-impact/,2026-07-25,,missing,none,clean
deep-129-impact,DEEP IMPACT,2025-12-14,8,A,win,荒井銀二,BRAVEGYM,荒井銀二,DEEPライト級 5分2R,https://www.deep2001.com/deep-129-impact/,2026-07-25,,missing,none,clean
deep-129-impact,DEEP IMPACT,2025-12-14,8,B,loss,平石光一,PUREBRED,平石光一,DEEPライト級 5分2R,https://www.deep2001.com/deep-129-impact/,2026-07-25,,missing,none,clean
deep-129-impact,DEEP IMPACT,2025-12-14,9,A,win,TAKUMA,JAPAN TOP TEAM,TAKUMA,DEEPメガトン級 3分2R アマチュアSルール,https://www.deep2001.com/deep-129-impact/,2026-07-25,,missing,none,clean
deep-129-impact,DEEP IMPACT,2025-12-14,9,B,loss,ハチミツ大魔王,焼肉京ちゃん,ハチミツ大魔王,DEEPメガトン級 3分2R アマチュアSルール,https://www.deep2001.com/deep-129-impact/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,1,A,win,延命そら,TEAM FAUST,延命そら,DEEPフェザー級 5分3R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,1,B,loss,牧野滉風,柔術&amp;MMAアカデミーG-face,牧野滉風,DEEPフェザー級 5分3R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,2,A,loss,三村亘,パンクラス大阪稲垣組,三村亘,DEEPフェザー級 5分2R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,2,B,win,鈴木琢仁,ボンサイ柔術,鈴木琢仁,DEEPフェザー級 5分2R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,3,A,win,樹季,KING GYM KOBE,樹季,DEEP JEWELSバンタム級 5分2R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
