event	row_count
WBCムエタイ・ジャパン第2回大会 「The Path to the World Champion」	2
WBKF Eurasia Championship	2
WFCA Gala Zutphen	2
WFL: Manhoef vs. Bonjasky	2
WILD KICKBOXING 〜縁〜	2
WLF武林風中日対抗戦	2
WMF Muay Thai World Championship	2
WORLD CHAMPIONSHIOP MUAYTHAI	2
WORLD MUAYTHAI FEDERATION CHAMPIONSHIP	2
WORLD TITLE FIGHT OF MUAY THAI	2
WPKL Gala in Hogendorphal	2
Wanchai＋PK MuayThai Super Fight	2
World Martial Arts Challenge	2
XPLOSION 3 - KINGS OF CHAMPIONS	2
XPLOSION SUPER FIGHT 14	2
Xplosion 18 Super Fights	2
Yokkao 15	2
Yokkao Extreme 2013	2
ZONE 4	2
ZONE×REAL 第二章 第1部 ZONE 2	2
Zhara Fight Show	2
オランダ（大会名不明）	2
カナダサリー州	2
"キック・ユニオン ""ディファ有明大会"""	2
サムロンスタジアム	2
スッグ・ワンブンヤー	2
タイ・パタヤ	2
チャクリキ	2
マーシャルアーツ日本キックボクシング連盟 2009士道館新春興行BREAK THROUGH-9 〜添野道場40周年記念大会〜	2
マーシャルアーツ日本キックボクシング連盟「BREAK THROUGH-10 〜突破口〜」	2
マーシャルアーツ日本キックボクシング連盟「BREAK THROUGH-3 〜突破口〜」	2
マーシャルアーツ日本キックボクシング連盟「BREAK THROUGH-4 〜突破口 KICKGUTS 2008〜 梶原一騎22回忌追悼記念・第11回梶原一騎杯」	2
マーシャルアーツ日本キックボクシング連盟「BREAK THROUGH-5 〜打破〜 新東金ジム30周年記念 戦場の狼IV」	2
マーシャルアーツ日本キックボクシング連盟「BREAK-2 〜WMAF世界フェザー級タイトルマッチ＆ウェルター級王座決定戦〜」	2
マーシャルアーツ日本キックボクシング連盟「BREAK-8 〜士道館新春興行〜」	2
マーシャルアーツ日本キックボクシング連盟「BREAKDOWN-8 〜打破〜 MA.KICK祭り CHAMPION CARNIVAL」	2
マーシャルアーツ日本キックボクシング連盟「BREAKDOWN（打破）5 〜新東金ジム29周年記念 戦場の狼3」	2
マーシャルアーツ日本キックボクシング連盟「DETERMINATION (決心) 7th 〜梶原一騎19回忌追悼記念 第8回梶原一騎杯 キックガッツ2005〜」	2
マーシャルアーツ日本キックボクシング連盟「KING COMBAT-2002 - KICK BOXING 60kg TOURNAMENT 日本最強決定戦」	2
マーシャルアーツ日本キックボクシング連盟「SET FIRE II 〜キックに火をつけろ!〜」	2
マーシャルアーツ日本キックボクシング連盟「SHIMOKITA GROUND ZERO PT2」	2
マーシャルアーツ日本キックボクシング連盟「SHIMOKITA GROUND ZERO」	2
マーシャルアーツ日本キックボクシング連盟「SUPREME-2 〜最高のキック〜」	2
マーシャルアーツ日本キックボクシング連盟「SUPREME-4 梶原一騎18回忌追悼記念 第7回梶原一騎杯 キックガッツ2004」	2
マーシャルアーツ日本キックボクシング連盟「SUPREME-6」	2
マーシャルアーツ日本キックボクシング連盟「SUPREME-7 CHAMPION CARNIVAL 〜7階級タイトルマッチ〜」	2
マーシャルアーツ日本キックボクシング連盟「SURPRISING 3rd」	2
マーシャルアーツ日本キックボクシング連盟「SURPRISING 6 〜東金ジム28周年記念 戦場の狼2〜」	2
マーシャルアーツ日本キックボクシング連盟「SURPRISING 8 〜MA日本キック連盟祭・オールタイトルマッチ〜」	2
マーシャルアーツ日本キックボクシング連盟「マッハ士道館・戦国シリーズ仁義なき戦いパート3」	2
マーシャルアーツ日本キックボクシング連盟「マーシャルアーツスピリット」	2
マーシャルアーツ日本キックボクシング連盟「最強を求めて」	2
マーシャルアーツ日本キックボクシング連盟「梶原一騎17回忌追悼記念・第6回梶原一騎杯・キックガッツ2003」	2
マーシャルアーツ日本キックボクシング連盟「谷山ジム25周年記念興行 ビッグ・バン〜統一への道」	2
ムエローク2011 -3rd-	2
一撃 8.20 ICHIGEKI	2
不明（イタリア）	2
不明（オランダ）	2
元気ですか!! 大晦日!! 2011	2
巌流島バーチャルファイト	2
新日本キック	2
"新日本プロレス""YOKOHAMA DEAD OUT"""	2
日本キックボクシング連盟「2001 激動シリーズ」	2
武林風 & WCKムエタイ: 中国 vs アメリカ	2
武林風 2013	2
武林風 2014 インターナショナル・チャンピオン	2
武林風547	2
激突II	2
激突III	2
