slug,name,history_index,date,event,opponent,result,org,events_on_that_date
gustavo-luis,ルイス・グスタボ,15,2016-07-23,Imortal FC 5 - Road to Pancrase,ディエゴ・シルベリオ,win,PANCRASE,(none)
kitakata-daichi,北方大地,19,2015-04-29,DEEP OSAKA IMPACT 2015,佐藤タケシ,win,DEEP,(none)
kitakata-daichi,北方大地,21,2014-10-19,DEEP CAGE IMPACT in OSAKA 2014,佐藤寛太,win,DEEP,(none)
kaito,海飛,14,2021-06-18,DEEP TOKYO IMPACT 1st ROUND,山口コウタ,win,DEEP,(none)
shirakawa-rikuto,白川ダーク陸斗,17,2017-12-24,DEEP ＆ PANCRASE 大阪大会,吉野正岐,win,DEEP,(none)
shirakawa-rikuto,白川ダーク陸斗,19,2017-03-20,DEEP OSAKA IMPACT 2017,窪田泰斗,loss,DEEP,(none)
shirakawa-rikuto,白川ダーク陸斗,20,2016-10-07,DEEP CAGE IMPACT 2016 in OSAKA,石井逸人,loss,DEEP,(none)
shirakawa-rikuto,白川ダーク陸斗,22,2016-03-21,DEEP OSAKA IMPACT 2016,中村公彦,win,DEEP,(none)
shirakawa-rikuto,白川ダーク陸斗,23,2015-10-11,DEEP CAGE IMPACT 2015 in OSAKA,ソン・ジンス,loss,DEEP,(none)
kitaoka-satoru,北岡悟,15,2018-10-27,DEEP 86 IMPACT 【DEEPライト級タイトルマッチ】,武田光司,loss,DEEP,(none)
kitaoka-satoru,北岡悟,24,2015-07-20,DEEP CAGE IMPACT 2015 【DEEPライト級タイトルマッチ】,岡野裕城,win,DEEP,(none)
kitaoka-satoru,北岡悟,49,2007-04-13,DEEP 29 IMPACT,"ファブリシオ・""ピットブル""・モンテイロ",win,DEEP,(none)
miyake-kisa,三宅輝砂,16,2019-11-24,DEEP NAGOYA IMPACT KOBUDO FIGHT 24,高瀬一平,win,DEEP,(none)
shinya-aoki,青木真也,16,2015-12-29,RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS,桜庭和志,win,RIZIN,(none)
shinya-aoki,青木真也,58,2004-10-30,DEEP 16th IMPACT 【ウェルター級トーナメント 準決勝】,中尾受太郎,loss,DEEP,(none)
shinya-aoki,青木真也,59,2004-07-03,DEEP 15th IMPACT 【ウェルター級トーナメント 1回戦】,池本誠知,win,DEEP,(none)
shinya-aoki,青木真也,60,2003-11-24,club DEEP 4th in 西調布格闘技アリーナ 【フューチャーキングトーナメント 82 kg以下級 決勝】,佐藤隆平,win,DEEP,(none)
shinya-aoki,青木真也,61,2003-11-24,club DEEP 4th in 西調布格闘技アリーナ 【フューチャーキングトーナメント 82 kg以下級 準決勝】,龍保利,win,DEEP,(none)
shinya-aoki,青木真也,62,2003-11-24,club DEEP 4th in 西調布格闘技アリーナ 【フューチャーキングトーナメント 82 kg以下級 1回戦】,沖村大,win,DEEP,(none)
tatsumitsu-wada,和田竜光,29,2012-04-07,DEEP CAGE IMPACT 2012 in TOKYO 〜OVER AGAIN〜,大塚隆史,win,DEEP,(none)
tatsumitsu-wada,和田竜光,35,2010-08-27,DEEP 49 IMPACT,小林聖人,win,DEEP,(none)
tatsumitsu-wada,和田竜光,37,2010-05-23,club DEEP,薩摩竜仁,win,DEEP,(none)
tatsumitsu-wada,和田竜光,39,2009-06-30,DEEP 42 IMPACT,土田達也,win,DEEP,(none)
tatsumitsu-wada,和田竜光,43,2008-03-29,CLUB DEEP TOKYO in 新宿FACE,宮下トモヤ,loss,DEEP,(none)
koya-kanda,神田コウヤ,15,2020-11-02,DEEP 99 IMPACT,鬼山斑猫,win,DEEP,(none)
kim-soochul,キム・スーチョル,17,2015-12-31,RIZIN FIGHTING WORLD GRAND-PRIX 2015 IZAの舞,マイケ・リニャーレス,win,RIZIN,(none)
ishizuka-koichi,石司晃一,19,2015-07-20,DEEP CAGE IMPACT 2015,釜谷真,win,DEEP,(none)
ishizuka-koichi,石司晃一,25,2012-07-21,DEEP TOKYO IMPACT 2012,須崎ジオング康文,win,DEEP,(none)
ishizuka-koichi,石司晃一,26,2012-04-07,DEEP CAGE IMPACT 2012,ミニタウロ・ハット,win,DEEP,(none)
sugiyama-kohei,杉山廣平,24,2016-03-27,DEEP NAGOYA IMPACT 公武堂ファイト,白木一広,win,DEEP,(none)
unconfirmed-shooto-1875,砂辺 光久,45,2002-03-30,DEEP2001 4th IMPACT in NAGOYA,"""ランバー""ソムデート吉沢",win,DEEP,(none)
sarami,SARAMI,29,2013-11-17,DEEP TOYAMA IMPACT ROOKIES 3,MIYOKO,win,DEEP,(none)
sugiyama,杉山しずか,20,2013-07-20,DEEP TOKYO IMPACT,米沢知佐,win,DEEP,(none)
