slug	name	date	event	opponent	methodRaw	promotion	result	note
rushia-apuderugarimu	ルシア・アプデルガリム	2024-05-03	巌流島バーチャルファイト	ぱんちゃん璃奈	3R終了 判定2-0	Wikipedia(その他団体)	win	None
panchan-rina	ぱんちゃん璃奈	2024-05-03	巌流島バーチャルファイト	ルシア・アプデルガリム	3R終了 判定0-2	Wikipedia(その他団体)	loss	None
yuya	憂也	2022-03-20	湘南美容クリニック presents RIZIN.34	洋輔YAMATO	2R KO	RISE	win	None
jin-mandokoro	政所 仁	2022-03-20	湘南美容クリニック presents RIZIN.34	佐藤執斗	ノーコンテスト	RISE	no_contest	None
taiga	大雅	2022-03-20	湘南美容クリニック presents RIZIN.34	髙橋亮	3R判定	RISE	draw	None
kouji	皇治	2022-03-20	湘南美容クリニック presents RIZIN.34	梅野源治	3R 判定 （2-0）	RIZIN	win	None
ryo-takahashi	髙橋 亮	2022-03-20	湘南美容クリニック presents RIZIN.34	大雅	3R 判定	RISE	draw	None
sho-ogawa	小川翔	2022-03-20	湘南美容クリニック presents RIZIN.34	山畑雄摩	1R KO	RISE	win	None
yosuke-aoki	青木洋輔	2022-03-20	湘南美容クリニック presents RIZIN.34	憂也	2R TKO	RISE	loss	None
yuma-yamahata	山畑雄摩	2022-03-20	湘南美容クリニック presents RIZIN.34	小川翔	1RKO	RISE	loss	None
umeno-genji	梅野源治	2022-03-20	湘南美容クリニック presents RIZIN.34	皇治	3R判定	RISE	loss	None
yoshino-tomoki	吉野 友規	2022-07-02	湘南美容クリニック presents RIZIN.36	宮城寛克	3R 判定 （3-0）	RIZIN	loss	None
taiga	大雅	2022-07-02	湘南美容クリニック presents RIZIN.36	新田宗一朗	3R 判定	RISE	win	None
arata-soichiro	新田 宗一朗	2022-07-02	湘南美容クリニック presents RIZIN.36	大雅	3R 判定 （3-0）	RIZIN	loss	None
kaishi	魁志	2022-07-31	湘南美容クリニック presents RIZIN.37	龍聖	3R 1分23秒 TKO（レフェリーストップ）	RIZIN	loss	None
kakeru	翔	2022-10-23	湘南美容クリニック presents RIZIN.39	栗秋祥梧	2R KO	RISE	loss	None
kuriaki-shogo	栗秋 祥梧	2022-10-23	湘南美容クリニック presents RIZIN.39	翔	2R 1分42秒 TKO（レフェリーストップ）	RIZIN	win	None
reito-bravely-163	REITO BRAVELY	2022-10-23	湘南美容クリニック presents RIZIN.39	関幸一郎	1R 0分34秒 TKO（レフェリーストップ）	RIZIN	win	None
umeno-genji	梅野源治	2022-10-23	湘南美容クリニック presents RIZIN.39	トレント・ガーダム	1R KO	RISE	win	None
burakupansa-beinoa	“ブラックパンサー”ベイノア	2022-12-31	湘南美容クリニック presents RIZIN.40	宇佐美正パトリック	1R KO	RISE	loss	None
