slug,nameJa,jaTitle,articleFound,qualifyingSections,sectionRowCount,otherSectionsRowCount,parserKeptNow,dbHistoryLen,parserDropCount,pipelineDiff,dropReasons,note
nozimov-ilkhom,イルホム・ノジモフ,イルホム・ノジモフ,true,1,17,0,17,17,0,0,,
zhumagazy-nurkhan,ヌルハン・ズマガジー,ヌルハン・ズマガジー,true,1,12,0,12,12,0,0,,
temirov-azizbek,アジズベク・テミロフ,アジズベク・テミロフ,true,1,9,0,8,8,1,0,marker-blank-future:1,
gadzhamatov-alibeg,アリベク・ガジャマトフ,アリベク・ガジャマトフ,true,1,8,0,7,7,1,0,marker-blank-future:1,
mckee-aj,AJ・マッキー,AJ・マッキー,true,0,0,0,27,27,-27,0,,「総合格闘技」節が見つからず(en版由来の可能性)
otsuka-tomoki,大塚智貴,大塚智貴,false,0,0,0,0,1,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
tenya,天弥,天弥,true,1,9,0,9,9,0,0,,
nishitani-taisei,西谷大成,西谷大成,true,1,15,0,15,15,0,0,,
shibisai-shoma,シビサイ頌真,シビサイ頌真,true,1,16,0,15,15,1,0,marker-blank-future:1,
kitakata-daichi,北方大地,北方大地,true,1,38,0,37,37,1,0,marker-blank-future:1,
kaito,海飛,海飛,true,1,17,0,16,16,1,0,marker-blank-future:1,
mitsui-shunki,三井俊希,三井俊希,true,1,9,0,8,8,1,0,marker-blank-future:1,
shirakawa-rikuto,白川ダーク陸斗,白川陸斗,true,1,25,0,24,24,1,0,marker-blank-future:1,
kitaoka-satoru,北岡悟,北岡悟,true,1,84,0,83,83,1,0,marker-blank-future:1,
park-siwoo,パク・シウ,パク・シウ,true,1,20,0,20,20,0,0,,
lee-yeji,イ・イェジ,イ・イェジ,true,1,16,0,16,16,0,0,,
miyake-kisa,三宅輝砂,三宅輝砂,true,1,19,0,19,19,0,0,,
aoi-jin,青井人,青井人,true,0,0,0,24,24,-24,0,,「総合格闘技」節が見つからず(en版由来の可能性)
hamada-takumi,濱田巧,濱田巧,true,1,8,0,8,8,0,0,,
laramie-tony,トニー・ララミー,トニー・ララミー,true,1,16,0,16,16,0,0,,
kolesnik-viktor,ビクター・コレスニック,ビクター・コレスニック,true,1,34,0,34,34,0,0,,
kim-kyungpyo,キム・ギョンピョ,キム・ギョンピョ,true,1,20,0,20,20,0,0,,
kimura-shuya,木村柊也,木村柊也,true,2,8,0,8,8,0,0,,
lee-kaiwen,リー・カイウェン,リー・カイウェン,true,1,24,0,23,23,1,0,marker-blank-future:1,
kuzyutina-natasha,ナターシャ・クジュティナ,ナタリア・クジュティナ,true,3,12,0,11,11,1,0,marker-blank-future:1,
cafaro-ryan,ライアン・カファロ,ライアン・カファロ,true,1,22,0,22,22,0,0,,
