slug	name	date	event	opponent	methodRaw	promotion
yuki-yoza	与座優貴	2026-07-17	ONE Friday Fights 162 & The Inner Circle	ベン・ウーリス	ユナニマス判定	ONE Championship
yuki-yoza	与座優貴	2026-04-29	ONE SAMURAI 1	ジョナサン・ハガティー	ユナニマス判定	ONE Championship
yuki-yoza	与座優貴	2025-11-16	ONE 173	スーパーレック	ユナニマス判定	ONE Championship
yuki-yoza	与座優貴	2025-07-18	ONE Friday Fights 116	ペッタノン・ペットファーガス	ユナニマス判定	ONE Championship
yuki-yoza	与座優貴	2025-05-23	ONE Friday Fights 109	エルブルース・オスマノフ	ユナニマス判定	ONE Championship
katashima-satoshi	片島 聡志	2024-05-24	ONE Friday Fights 64	チャン・ルーミン	ノックアウト	ONE Championship
katashima-satoshi	片島 聡志	2024-04-05	ONE Friday Fights 58: Superbon vs. Grigorian II	石井寿来	ユナニマス判定	ONE Championship
sameshima-hiroto	鮫島 大翔	2024-03-08	ONE Friday Fights 54	ペットランプン	ノックアウト	ONE Championship
kiyoto-takahashi	髙橋聖人	2025-07-25	ONE Friday Fights 117	ウザイル・イスモイルジャノフ	1R TKO	RISE
ishii-hiroki	石井宏樹	2001-09-16	新日本キックボクシング協会「Take One」（防衛2）	マサル	5R終了 判定2-0	新日本キックボクシング協会(SNKA)
kuroda-touma	黒田斗真	2026-04-29	ONE SAMURAI 1	田丸辰	ユナニマス判定	ONE Championship
kuroda-touma	黒田斗真	2026-03-06	ONE Friday Fights 145	バンルーロック	ユナニマス判定	ONE Championship
kuroda-touma	黒田斗真	2026-03-06	ONE Friday Fights 145	バンルーロック・シットワチャラチャイ	3R終了 判定0-3	ONE Championship
kuroda-touma	黒田斗真	2025-11-14	ONE Friday Fights 133	キリル・チジク	ユナニマス判定	ONE Championship
kuroda-touma	黒田斗真	2025-09-26	ONE Friday Fights 126	アダム	ユナニマス判定	ONE Championship
kuroda-touma	黒田斗真	2025-09-26	ONE Friday Fights 126	アダム・ソー.デチャパン	3R終了 判定0-3	ONE Championship
kuroda-touma	黒田斗真	2025-05-11	Space ONE Japan x BOM	シワラット・ウォー リンティダ	1R 0:55 KO（左膝蹴り）	Wikipedia(その他団体)
sora-tanazawa	棚澤大空	2026-06-12	ONE Friday Fights 158	アドハム・ルジエフ	3R 判定	RISE
danieru-uiriamusu	ダニエル・ウィリアムス	2024-12-07	ONE Fight Night 26	トンプーン	TKO	ONE Championship
danieru-uiriamusu	ダニエル・ウィリアムス	2023-10-06	ONE Fight Night 15: Le vs. Freymanov	ジョナサン・ディベラ	ユナニマス判定	ONE Championship
danieru-uiriamusu	ダニエル・ウィリアムス	2023-03-25	ONE Fight Night 8: Superlek vs. Williams	スーパーレック	ノックアウト	ONE Championship
nikorasu-rasen	ニコラス・ラーセン	2023-03-25	ONE Fight Night 8: Superlek vs. Williams	エディ・アバソロ	ノックアウト	ONE Championship
nikorasu-rasen	ニコラス・ラーセン	2022-10-21	ONE 162: ZHANG VS. DI BELLA	ジミー・ビエノ	ユナニマス判定	ONE Championship
nikorasu-rasen	ニコラス・ラーセン	2022-06-03	ONE 158: TAWANCHAI VS. LARSEN	タワンチャイ・PK・センチャイ	ノックアウト	ONE Championship
tesa-de-komu	テッサ・デ・コム	2026-04-24	ONE Friday Fights 151	ジョルジア・ピエロパン	ユナニマス判定	ONE Championship
danieru-puerutasu	ダニエル・プエルタス	2026-02-06	ONE Friday Fights 141	ラムナムーンレック	ユナニマス判定	ONE Championship
