name,status,decision,reason_code,primary_brand,total_appearances,amateur_appearances,pro_appearances,most_recent_date
牧野滉風,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-12-07
堀井かりん,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,3,0,3,2026-02-23
堀内美沙紀,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2025-12-14
本田良介,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-08-17
万智,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2026-02-23
木下カラテ,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-03-20
木下竜馬,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-03-08
木村琉音,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-11-02
木之下喧壱,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,2,0,2,2026-05-31
野尻大輔,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2025-12-14
野木崇政,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,
矢代光,missing,非採用,C_ALL_AMATEUR,DEEP IMPACT,1,1,0,2026-05-04
矢野武蔵,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,3,0,3,2026-07-05
勇太,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,2026-02-23
有村至恩,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
力也,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,5,0,5,2026-05-04
鈴木”BOSS”遥,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,2,0,2,2026-05-24
鈴木“QP”まい,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-06-21
鈴木幹也,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,2,0,2,2026-06-14
鈴木克彰,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
鈴木大晟,listed,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,3,0,3,2026-07-05
鈴木琢仁,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2025-12-07
鈴木覇,missing,採用,C_HAS_PRO_APPEARANCE,other,1,0,1,2026-04-19
鈴木柚来,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
和久田月聖,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2026-05-31
和泉直人,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
和智美音,missing,非採用,C_ALL_AMATEUR,DEEP JEWELS,2,2,0,2025-11-23
脇田仁,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,3,0,3,2026-02-23
寉岡樹記,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,3,2,1,2026-04-19
廣瀬裕斗,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,5,0,5,2026-05-24
澤田龍美,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,4,1,3,2026-06-21
濱口奏琉,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-03-08
