org,weight_class_raw,weight_class_mnews,weight_class_reason,rank,name_official,name_normalized,source_url,fetched_at,mnews_slug,status,match_confidence
shooto,フライ級,フライ級,,3,シモン スズキ,シモンスズキ,https://www.shooto-mma.com/ranking/,2026-07-25,suzuki-simon,hidden,exact
shooto,フライ級,フライ級,,4,関口 祐冬,関口祐冬,https://www.shooto-mma.com/ranking/,2026-07-25,sekiguchi-yuto,hidden,exact
shooto,フライ級,フライ級,,5,杉本 静弥,杉本静弥,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,フライ級,フライ級,,6,中村 優作,中村優作,https://www.shooto-mma.com/ranking/,2026-07-25,nakamura-yusaku,listed,exact
shooto,フライ級,フライ級,,7,砂辺 光久,砂辺光久,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,フライ級,フライ級,,8,梅筋 毒一郎,梅筋毒一郎,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,フライ級,フライ級,,9,山内 渉,山内渉,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,フライ級,フライ級,,10,岡田 嵐士,岡田嵐士,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,フライ級,フライ級,,11,中池 武寛,中池武寛,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,フライ級,フライ級,,12,鈴木 尊,鈴木尊,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,バンタム級,バンタム級,,王者,永井 奏多,永井奏多,https://www.shooto-mma.com/ranking/,2026-07-25,nagai-kanata,listed,exact
shooto,バンタム級,バンタム級,,1,齋藤 奨司,齋藤奨司,https://www.shooto-mma.com/ranking/,2026-07-25,saito-shoji,listed,exact
shooto,バンタム級,バンタム級,,2,中野 剛貴,中野剛貴,https://www.shooto-mma.com/ranking/,2026-07-25,nakano-goki,hidden,exact
shooto,バンタム級,バンタム級,,3,杉野 光星,杉野光星,https://www.shooto-mma.com/ranking/,2026-07-25,sugino-kosei,hidden,exact
shooto,バンタム級,バンタム級,,4,野瀬 翔平,野瀬翔平,https://www.shooto-mma.com/ranking/,2026-07-25,nose-shohei,listed,exact
shooto,バンタム級,バンタム級,,5,シンバートル バットエルデネ,シンバートルバットエルデネ,https://www.shooto-mma.com/ranking/,2026-07-25,baterdene-simbaatar,hidden,exact
shooto,バンタム級,バンタム級,,6,川北 晏生,川北晏生,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,バンタム級,バンタム級,,7,チョウ スソン,チョウスソン,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,バンタム級,バンタム級,,8,藤井 伸樹,藤井伸樹,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,バンタム級,バンタム級,,9,ダイキ ライトイヤー,ダイキライトイヤー,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,バンタム級,バンタム級,,10,宮口 龍鳳,宮口龍鳳,https://www.shooto-mma.com/ranking/,2026-07-25,miyaguchi-ryuho,listed,exact
shooto,バンタム級,バンタム級,,11,中島 陸,中島陸,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,バンタム級,バンタム級,,12,野尻 定由,野尻定由,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,フェザー級,フェザー級,,王者,SASUKE,SASUKE,https://www.shooto-mma.com/ranking/,2026-07-25,sasuke,listed,exact
shooto,フェザー級,フェザー級,,1,ヒカル,ヒカル,https://www.shooto-mma.com/ranking/,2026-07-25,hikaru,listed,exact
shooto,フェザー級,フェザー級,,2,青井 太一,青井太一,https://www.shooto-mma.com/ranking/,2026-07-25,aoi-taichi,listed,exact
shooto,フェザー級,フェザー級,,3,たてお,たてお,https://www.shooto-mma.com/ranking/,2026-07-25,tateo,listed,exact
shooto,フェザー級,フェザー級,,4,TOMA,TOMA,https://www.shooto-mma.com/ranking/,2026-07-25,toma,listed,exact
shooto,フェザー級,フェザー級,,5,堀江 耐志,堀江耐志,https://www.shooto-mma.com/ranking/,2026-07-25,horie-taishi,hidden,exact
shooto,フェザー級,フェザー級,,6,パク ジョンジュン,パクジョンジュン,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,フェザー級,フェザー級,,7,齋藤 翼,齋藤翼,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,フェザー級,フェザー級,,8,上原 平,上原平,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,フェザー級,フェザー級,,9,磯城嶋 一真,磯城嶋一真,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,フェザー級,フェザー級,,10,飯野 雄斗,飯野雄斗,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,フェザー級,フェザー級,,11,ネイン デイネッシュ,ネインデイネッシュ,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ライト級,ライト級,,王者,エフェヴィガ 雄志,エフェヴィガ雄志,https://www.shooto-mma.com/ranking/,2026-07-25,efeviga-yushi,listed,exact
