count	opponentName	classification
3	岩崎悠斗	正当な未リンク(名簿に候補なし)
3	矢野浩司	正当な未リンク(名簿に候補なし)
3	一治	正当な未リンク(名簿に候補なし)
3	斎藤 龍鬼	正当な未リンク(名簿に候補なし)
3	星 幸樹	正当な未リンク(名簿に候補なし)
3	フェルナンド・カレロス	正当な未リンク(名簿に候補なし)
3	メッケンナー・ソーキングスター	正当な未リンク(名簿に候補なし)
3	サゲッダーオ・ギャットプートン	正当な未リンク(名簿に候補なし)
3	山口遥花	正当な未リンク(名簿に候補なし)
3	フランツ・ハラー	正当な未リンク(名簿に候補なし)
3	清水保宏	正当な未リンク(名簿に候補なし)
3	コウイチ・ペタス	正当な未リンク(名簿に候補なし)
3	アドナン・レゾビッチ	正当な未リンク(名簿に候補なし)
3	正木和也	正当な未リンク(名簿に候補なし)
3	HIRΦKI	正当な未リンク(名簿に候補なし)
3	中泉 翔	正当な未リンク(名簿に候補なし)
3	フィクリ・ティアルティ	正当な未リンク(名簿に候補なし)
3	ヴァヒド・ロシャニ	正当な未リンク(名簿に候補なし)
3	上村康太	正当な未リンク(名簿に候補なし)
3	キム・ジュン	正当な未リンク(名簿に候補なし)
3	青谷 秋未	正当な未リンク(名簿に候補なし)
3	松本龍斗	正当な未リンク(名簿に候補なし)
3	廣虎	正当な未リンク(名簿に候補なし)
3	ダニエル	正当な未リンク(名簿に候補なし)
3	大澤 匡弘	正当な未リンク(名簿に候補なし)
3	ジャン・リビエール	正当な未リンク(名簿に候補なし)
3	カール・ベルナルド	正当な未リンク(名簿に候補なし)
3	スチュアート・グリーン	正当な未リンク(名簿に候補なし)
3	久遠	正当な未リンク(名簿に候補なし)
3	生井宏樹	正当な未リンク(名簿に候補なし)
3	協	正当な未リンク(名簿に候補なし)
3	ASH-RA	正当な未リンク(名簿に候補なし)
3	オートー・ノーナクシン	正当な未リンク(名簿に候補なし)
3	凱斗	正当な未リンク(名簿に候補なし)
3	トム・エリクソン	正当な未リンク(名簿に候補なし)
3	長井満也	正当な未リンク(名簿に候補なし)
3	サミール・ベルバーチ	正当な未リンク(名簿に候補なし)
3	清水政和	正当な未リンク(名簿に候補なし)
3	YU IKEDA	正当な未リンク(名簿に候補なし)
3	小野 剛史	正当な未リンク(名簿に候補なし)
3	伊東 拓馬	正当な未リンク(名簿に候補なし)
3	小野田琉己	正当な未リンク(名簿に候補なし)
3	篤椰	正当な未リンク(名簿に候補なし)
3	大崎一貴	正当な未リンク(名簿に候補なし)
3	滝口幸成	正当な未リンク(名簿に候補なし)
3	聡一郎	正当な未リンク(名簿に候補なし)
3	UMA	正当な未リンク(名簿に候補なし)
3	直人	正当な未リンク(名簿に候補なし)
3	釼田 昌弘	正当な未リンク(名簿に候補なし)
3	ジェフ・ルーファス	正当な未リンク(名簿に候補なし)
3	王強（ワン・チャング）	正当な未リンク(名簿に候補なし)
3	中井一成	正当な未リンク(名簿に候補なし)
3	平澤優聖	正当な未リンク(名簿に候補なし)
3	SHOTA	正当な未リンク(名簿に候補なし)
3	三輪力斗	正当な未リンク(名簿に候補なし)
3	大石享	正当な未リンク(名簿に候補なし)
3	マーセル・グローエンハート	正当な未リンク(名簿に候補なし)
3	マイク・コープ	正当な未リンク(名簿に候補なし)
3	斗哉	正当な未リンク(名簿に候補なし)
3	多根嘉輝	正当な未リンク(名簿に候補なし)
3	昇侍	正当な未リンク(名簿に候補なし)
3	杉本卓也	正当な未リンク(名簿に候補なし)
3	fire仭士	正当な未リンク(名簿に候補なし)
3	中向 永昌	正当な未リンク(名簿に候補なし)
3	杉山遼平	正当な未リンク(名簿に候補なし)
3	村上 祐馬	正当な未リンク(名簿に候補なし)
3	小柳 俊和	正当な未リンク(名簿に候補なし)
3	末廣智明	正当な未リンク(名簿に候補なし)
3	加藤圭太	正当な未リンク(名簿に候補なし)
3	我謝 真人	正当な未リンク(名簿に候補なし)
3	海老原 竜二	正当な未リンク(名簿に候補なし)
3	吉成名高	正当な未リンク(名簿に候補なし)
3	坂本 優	正当な未リンク(名簿に候補なし)
3	TOA	正当な未リンク(名簿に候補なし)
3	ヤスユキ	正当な未リンク(名簿に候補なし)
3	国分省吾	正当な未リンク(名簿に候補なし)
3	森 興二	正当な未リンク(名簿に候補なし)
3	泉 丈成	正当な未リンク(名簿に候補なし)
3	ルイス・アゼレード	正当な未リンク(名簿に候補なし)
