# RIZINタグでLANDMARKを含まない大会名の全125件

shoki-hoshikubo	星久保将城	2023-06-24	RIZIN.43	がんばれ！ふるかわくん	ノーコンテスト（星久保の体重超過によるレッドカード提示のため）
ishikawa-naoki-2	石川 直樹	2021-10-24	Yogibo presents RIZIN.31	吉成名高	1R 2分30秒 TKO（3ノックダウン）
sone-kazuma	祖根 寿麻	2021-11-20	Yogibo presents RIZIN.32	皇治	3R 判定 （3-0）
yamato-ashikaga	足利也真登	2025-03-30	RIZIN.50	大谷翔司	1R 3分00秒 TKO（スリーノックダウン）
otani-shoji	大谷 翔司	2025-03-30	RIZIN.50	足利也真登	1R 3分00秒 TKO（スリーノックダウン）
otani-shoji	大谷 翔司	2022-04-16	SPASHAN presents RIZIN TRIGGER 3rd	力也	1R 2分52秒 TKO（3ノックダウン）
takeuchi-kenichi	竹内賢一	2020-02-22	RIZIN.21	直也	3R 判定 （3-0）
nakagawa-kota	仲川 広汰	2022-02-23	SPASHAN HPS presents RIZIN TRIGGER 2nd	大樹	3R 判定 （3-0）
yuta-uchida	内田雄大	2018-12-31	Cygames presents RIZIN 平成最後のやれんのか！	小西拓槙	3R 判定 3-0
taiju-shiratori	白鳥大珠	2019-06-02	RIZIN.16	山口裕人	3R 判定（0-3）
hannya-hashimoto	般若HASHIMOTO	2018-08-12	RWEDDINGS presents RIZIN.12	内藤大樹	2R 1分53秒 TKO（3ノックダウン）
taishi-hiratsuka	平塚大士	2020-09-27	Yogibo presents RIZIN.24	北川裕紀	2R 27秒 KO
yushin	優心	2020-08-09	RIZIN.22 - STARTING OVER -	吉成名高	2R 3分8秒 TKO（レフェリーストップ：左ひじ）
yuya	憂也	2020-02-22	RIZIN.21	康輝	1R 2分30秒 KO（パンチ連打）
yuya	憂也	2019-06-02	RIZIN.16	田中STRIKE雄基	1R 2分45秒 TKO
oinuma-ryuto	老沼 隆斗	2021-10-24	Yogibo presents RIZIN.31	奥脇竜哉	3R 判定 （2-0）
kunimoto-masayoshi	國本 真義	2021-03-21	Yogibo presents RIZIN.27	佐藤執斗	3R 判定 （ドロー：0-1）
kiyoto-takahashi	髙橋聖人	2021-06-27	Yogibo presents RIZIN.29	山畑雄摩	3R 判定 （ドロー：0-1）
