name,yomi_kana,yomi_romaji,yomi_source,gym,orgs,source_urls
ミロスラフ・ヴーヨヴィッチ,ミロスラフ・ヴーヨヴィッチ,,published_kana,生年月日,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1493
ミロス・ツヴェチカニン,ミロス・ツヴェチカニン,,published_kana,生年月日,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1495
三輪 裕樹,ミワ ユウキ,Miwa Yuki,published_kana,K-1 GYM SAGAMI-ONO KREST,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/257
ムァンコーン・ブームデックシーン,ムァンコーン・ブームデックシーン,,published_kana,Boomdeksean,RISE,https://rise-rc.com/fighter/mangkon-boomdeksean/
ムアメル・ユーゴヴィッチ,ムアメル・ユーゴヴィッチ,,published_kana,生年月日,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1494
武蔵,ムサシ,Musashi,published_kana,,,https://ja.wikipedia.org/wiki/武蔵_(格闘家)
武蔵,ムサシ,Musashi,published_kana,デビルジム,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/1507
ムスタファ・ハイダ,ムスタファ・ハイダ,,published_kana,Fight Club Firenze,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1371
武藤孝行,ムトウ タカユキ,,published_kana,,,https://ja.wikipedia.org/wiki/武藤孝行
ムハレム・ジョケイ,ムハレム・ジョケイ,,published_kana,,,https://ja.wikipedia.org/wiki/ムハレム・ジョケイ
村越 優汰,ムラコシ ユウタ,Murakoshi Yuta,published_kana,湘南格闘クラブ/M‘S GYM,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/841
村越凌,ムラコシ リョウ,,published_kana,,,https://ja.wikipedia.org/wiki/村越凌
村田 健悟,ムラタ ケンゴ,Murata Kengo,published_kana,ALONZA ABLAZE,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/1380
村田 康行,ムラタ ヤスユキ,Murata Yasuyuki,published_kana,,K-1,https://www.k-1.co.jp/fighter/349
ムラット・ディレッキー,ムラット・ディレッキー,,published_kana,,,https://ja.wikipedia.org/wiki/ムラット・ディレッキー
